name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Jughead's Fast Food Corner,"Chinese, Fast Food, North Indian",500,1,0,2,3.6,Good,438,New Delhi,Uday Park,28.5607421795,77.2179074585,Rs.,Moderate,Chinese,Good,Has Delivery
Cafe 6,"Cafe, Fast Food, North Indian",500,1,0,2,3.9,Good,406,New Delhi,Hauz Khas,28.5525624000,77.2084289000,Rs.,Moderate,Cafe,Good,Has Delivery
Gung The Palace,Korean,2500,0,1,4,3.7,Good,303,New Delhi,Green Park,28.5568725000,77.2054344000,Rs.,Luxury,Korean,Good,No Delivery
Karnataka,"South Indian, North Indian, Chinese",500,1,0,2,3.7,Good,334,New Delhi,Yusuf Sarai,28.5594420000,77.2072368000,Rs.,Moderate,South Indian,Good,Has Delivery
Sugarama Patisserie,"Bakery, Desserts",500,1,0,2,4.2,Very Good,292,New Delhi,Shahpur Jat,28.5493235000,77.2148724000,Rs.,Moderate,Bakery,Very Good,Has Delivery
Pink Box,"Bakery, Desserts",300,1,0,1,3.8,Good,243,New Delhi,Hauz Khas,28.5513909000,77.2045677000,Rs.,Budget,Bakery,Good,Has Delivery
Mithapur,"Chinese, Fast Food, North Indian, South Indian",450,0,0,1,3.4,Average,280,New Delhi,Anand Lok,28.5555634000,77.2187517000,Rs.,Budget,Chinese,Average,No Delivery
Lets Bake Love,"Bakery, Desserts",600,0,0,2,3.0,Average,4,New Delhi,Lajpat Nagar 1,28.5735240000,77.2403040000,Rs.,Moderate,Bakery,Average,No Delivery
Mahadev Dhaba,North Indian,100,1,0,1,2.6,Average,10,New Delhi,Lajpat Nagar 1,28.5753489734,77.2424650937,Rs.,Budget,North Indian,Poor,Has Delivery
Bhagwan Sweets,"Mithai, North Indian, Chinese, Street Food",250,0,0,1,2.8,Average,8,New Delhi,Lajpat Nagar 1,28.5755756887,77.2426179796,Rs.,Budget,Mithai,Poor,No Delivery
Arabian Knites,"Cafe, Chinese",500,0,0,2,3.0,Average,7,New Delhi,Lajpat Nagar 1,28.5754826471,77.2425686941,Rs.,Moderate,Cafe,Average,No Delivery
Flavourz,Fast Food,150,1,0,1,3.3,Average,6,New Delhi,Lajpat Nagar 1,28.5785570000,77.2422380000,Rs.,Budget,Fast Food,Average,Has Delivery
Sindhi Kulfi,"Desserts, Ice Cream",100,0,0,1,3.0,Average,4,New Delhi,Lajpat Nagar 1,28.5655738411,77.2465165704,Rs.,Budget,Desserts,Average,No Delivery
